time_s,x,y,z,roll_rad,pitch_rad,yaw_rad,vx_cmd,vy_cmd,vz_cmd,target_x,target_y,target_z,target_yaw,dist_m,yaw_err_rad,speed_ms,wind_enabled,rl_profile
0.02,0.0,0.0,0.9759,0.0,-0.0,0.0,1.3498,0.5785,0.3056,5.0,2.0,2.0,0.0,5.4817,0.0,1.5,0,0
0.04,0.0002,0.0,0.9393,-0.0068,0.0125,-0.0014,0.7261,0.2917,0.1666,5.0,2.0,2.0,0.0,5.4885,0.0014,0.8,0,3
0.06,0.0013,0.0004,0.9141,-0.0057,0.0228,0.001,1.0919,0.4356,0.2407,5.0,2.0,2.0,0.0,5.4922,-0.001,1.2,0,1
0.08,0.004,0.0013,0.9002,-0.0105,0.0265,-0.0004,1.0927,0.4378,0.2331,5.0,2.0,2.0,0.0,5.4922,0.0004,1.2,0,1
0.1,0.0085,0.0031,0.8948,-0.0163,0.0318,0.0003,1.3675,0.5466,0.2848,5.0,2.0,2.0,0.0,5.4885,-0.0003,1.5,0,0
0.12,0.0153,0.0062,0.8967,-0.0239,0.0395,0.0008,0.7311,0.2915,0.1433,5.0,2.0,2.0,0.0,5.4808,-0.0008,0.8,0,3
0.14,0.0247,0.0107,0.9026,-0.022,0.049,0.0015,1.3708,0.5448,0.2724,5.0,2.0,2.0,0.0,5.4694,-0.0015,1.5,0,0
0.16,0.0371,0.0167,0.9112,-0.0256,0.0532,0.0007,0.4591,0.1816,0.079,5.0,2.0,2.0,0.0,5.4543,-0.0007,0.5,0,6
0.18,0.0527,0.0241,0.9209,-0.0233,0.0556,0.0023,0.5051,0.1986,0.0892,5.0,2.0,2.0,0.0,5.4354,-0.0023,0.55,0,5
0.2,0.0715,0.0329,0.9291,-0.0224,0.0567,0.001,0.55,0.2171,0.1019,5.0,2.0,2.0,0.0,5.4136,-0.001,0.6,0,4
0.22,0.0932,0.0429,0.9361,-0.0232,0.0561,0.0015,1.372,0.5432,0.2693,5.0,2.0,2.0,0.0,5.3887,-0.0015,1.5,0,0
0.24,0.1182,0.0542,0.9442,-0.0267,0.0641,-0.0007,0.9148,0.364,0.1749,5.0,2.0,2.0,0.0,5.3603,0.0007,1.0,0,2
0.26,0.1467,0.0669,0.9541,-0.0255,0.0711,0.0011,0.733,0.2899,0.1366,5.0,2.0,2.0,0.0,5.3278,-0.0011,0.8,0,3
0.28,0.1787,0.0809,0.964,-0.0269,0.0698,-0.0,0.9154,0.3632,0.1733,5.0,2.0,2.0,0.0,5.2916,0.0,1.0,0,2
0.3,0.2143,0.0963,0.9739,-0.0288,0.0708,0.0004,0.5499,0.2167,0.1031,5.0,2.0,2.0,0.0,5.2517,-0.0004,0.6,0,4
0.32,0.2533,0.1131,0.9836,-0.0303,0.0667,0.0003,0.459,0.1801,0.0828,5.0,2.0,2.0,0.0,5.2082,-0.0003,0.5,0,6
0.34,0.2952,0.1313,0.9921,-0.0309,0.0609,0.0007,0.5043,0.1974,0.0959,5.0,2.0,2.0,0.0,5.1617,-0.0007,0.55,0,5
0.36,0.3396,0.1508,0.9992,-0.028,0.0569,0.0006,1.3723,0.5411,0.2721,5.0,2.0,2.0,0.0,5.1127,-0.0006,1.5,0,0
0.38,0.3865,0.1715,1.0076,-0.0277,0.0641,-0.0009,0.4135,0.1601,0.0768,5.0,2.0,2.0,0.0,5.0609,0.0009,0.45,0,7
0.4,0.4359,0.1934,1.0168,-0.028,0.0566,0.0015,0.4594,0.1768,0.0876,5.0,2.0,2.0,0.0,5.0061,-0.0015,0.5,0,6
0.42,0.4873,0.2163,1.0246,-0.0271,0.0509,0.0002,0.5498,0.2128,0.1115,5.0,2.0,2.0,0.0,4.9495,-0.0002,0.6,0,4
0.44,0.5403,0.2401,1.0319,-0.0232,0.0501,0.0003,0.5498,0.2118,0.1132,5.0,2.0,2.0,0.0,4.8912,-0.0003,0.6,0,4
0.46,0.5948,0.2647,1.0396,-0.0215,0.0482,0.0002,1.3728,0.5363,0.2788,5.0,2.0,2.0,0.0,4.8311,-0.0002,1.5,0,0
0.48,0.6506,0.2898,1.0493,-0.0229,0.0519,-0.0014,0.7331,0.2862,0.1437,5.0,2.0,2.0,0.0,4.7693,0.0014,0.8,0,3
0.5,0.7079,0.3155,1.0603,-0.0209,0.0522,0.0008,1.3744,0.5335,0.2764,5.0,2.0,2.0,0.0,4.7056,-0.0008,1.5,0,0
0.52,0.7667,0.3418,1.0725,-0.0228,0.055,-0.002,1.3734,0.5366,0.2755,5.0,2.0,2.0,0.0,4.6402,0.002,1.5,0,0
0.54,0.827,0.3687,1.0866,-0.0249,0.0561,-0.0008,0.5516,0.2098,0.1085,5.0,2.0,2.0,0.0,4.5727,0.0008,0.6,0,4
