time_s,x,y,z,roll_rad,pitch_rad,yaw_rad,vx_cmd,vy_cmd,vz_cmd,target_x,target_y,target_z,target_yaw,dist_m,yaw_err_rad,speed_ms,wind_enabled,rl_profile
0.02,0.0,0.0,0.9759,0.0,-0.0,0.0,0.9936,0.9936,0.525,2.0,2.0,2.0,0.0,3.0081,0.0,1.5,0,0
0.04,0.0001,0.0001,0.9418,-0.0083,0.0083,-0.0004,0.5251,0.5255,0.2968,2.0,2.0,2.0,0.0,3.0198,0.0004,0.8,0,3
0.06,0.0007,0.0007,0.9235,-0.0143,0.0143,0.001,0.7949,0.7934,0.4225,2.0,2.0,2.0,0.0,3.0254,-0.001,1.2,0,1
0.08,0.0025,0.0025,0.9205,-0.0207,0.0207,-0.0003,0.7997,0.8002,0.4001,2.0,2.0,2.0,0.0,3.0241,0.0003,1.2,0,1
0.1,0.0059,0.0059,0.9289,-0.0273,0.0273,0.0001,1.0049,1.0047,0.4804,2.0,2.0,2.0,0.0,3.0166,-0.0001,1.5,0,0
0.12,0.0112,0.0113,0.9468,-0.0334,0.0333,-0.0004,0.5413,0.5417,0.2314,2.0,2.0,2.0,0.0,3.0033,0.0004,0.8,0,3
0.14,0.0187,0.0188,0.9687,-0.0367,0.0367,0.0009,1.0141,1.0122,0.4437,2.0,2.0,2.0,0.0,2.9857,-0.0009,1.5,0,0
0.16,0.0285,0.0286,0.9931,-0.0426,0.0426,-0.0003,0.3451,0.3453,0.1081,2.0,2.0,2.0,0.0,2.9643,0.0003,0.5,0,6
0.18,0.0408,0.0409,1.0178,-0.042,0.042,0.0014,0.3789,0.3778,0.1273,2.0,2.0,2.0,0.0,2.9396,-0.0014,0.55,0,5
0.2,0.0554,0.0555,1.0382,-0.0422,0.0423,-0.0003,0.4099,0.41,0.1546,2.0,2.0,2.0,0.0,2.9134,0.0003,0.6,0,4
0.22,0.0722,0.0723,1.0556,-0.0427,0.0427,-0.0001,1.0153,1.0154,0.4336,2.0,2.0,2.0,0.0,2.8852,0.0001,1.5,0,0
0.24,0.0915,0.0916,1.0739,-0.0532,0.053,-0.0021,0.6779,0.6806,0.278,2.0,2.0,2.0,0.0,2.8534,0.0021,1.0,0,2
0.26,0.1137,0.1138,1.0943,-0.0552,0.055,-0.0001,0.5451,0.5451,0.214,2.0,2.0,2.0,0.0,2.8171,0.0001,0.8,0,3
0.28,0.1386,0.1388,1.1131,-0.0544,0.0544,-0.0001,0.5447,0.5446,0.2162,2.0,2.0,2.0,0.0,2.7777,0.0001,0.8,0,3
0.3,0.1663,0.1665,1.1307,-0.0543,0.0543,-0.0003,0.6791,0.6794,0.2781,2.0,2.0,2.0,0.0,2.7349,0.0003,1.0,0,2
0.32,0.1967,0.1969,1.1489,-0.0556,0.0556,-0.0014,0.3409,0.3416,0.1306,2.0,2.0,2.0,0.0,2.6884,0.0014,0.5,0,6
0.34,0.2296,0.2299,1.166,-0.0526,0.0525,0.0007,0.3735,0.3728,0.1548,2.0,2.0,2.0,0.0,2.6388,-0.0007,0.55,0,5
0.36,0.2648,0.2652,1.1809,-0.0493,0.0493,-0.0009,0.3046,0.3048,0.1297,2.0,2.0,2.0,0.0,2.5868,0.0009,0.45,0,7
0.38,0.302,0.3024,1.1943,-0.0458,0.0459,0.0004,0.3024,0.3018,0.1412,2.0,2.0,2.0,0.0,2.5327,-0.0004,0.45,0,7
0.4,0.3408,0.3412,1.2066,-0.042,0.0418,-0.0002,0.4008,0.4007,0.197,2.0,2.0,2.0,0.0,2.4767,0.0002,0.6,0,4
0.42,0.381,0.3815,1.2193,-0.0389,0.0389,-0.0007,0.3996,0.3998,0.2013,2.0,2.0,2.0,0.0,2.4187,0.0007,0.6,0,4
0.44,0.4225,0.423,1.233,-0.037,0.0371,-0.0003,0.3655,0.3653,0.1883,2.0,2.0,2.0,0.0,2.3588,0.0003,0.55,0,5
0.46,0.4649,0.4654,1.247,-0.0345,0.0346,-0.0003,0.6725,0.6726,0.3089,2.0,2.0,2.0,0.0,2.2975,0.0003,1.0,0,2
0.48,0.5081,0.5086,1.2627,-0.0349,0.0351,-0.0018,0.3302,0.331,0.1771,2.0,2.0,2.0,0.0,2.2346,0.0018,0.5,0,6
0.5,0.552,0.5526,1.279,-0.0319,0.0319,0.0006,0.5387,0.5377,0.2463,2.0,2.0,2.0,0.0,2.1705,-0.0006,0.8,0,3
0.52,0.5966,0.5972,1.2951,-0.0316,0.0317,-0.0017,1.0039,1.0068,0.478,2.0,2.0,2.0,0.0,2.1058,0.0017,1.5,0,0
0.54,0.6418,0.6424,1.3143,-0.0373,0.0376,-0.0021,1.0048,1.0086,0.4723,2.0,2.0,2.0,0.0,2.0391,0.0021,1.5,0,0
0.56,0.688,0.6886,1.3381,-0.0412,0.0413,-0.0025,0.4002,0.402,0.1954,2.0,2.0,2.0,0.0,1.9696,0.0025,0.6,0,4
0.58,0.7352,0.7358,1.3627,-0.0387,0.0385,-0.0005,0.6753,0.6756,0.2958,2.0,2.0,2.0,0.0,1.8984,0.0005,1.0,0,2
0.6,0.7834,0.7839,1.386,-0.0396,0.0399,-0.0026,0.364,0.3659,0.19,2.0,2.0,2.0,0.0,1.8265,0.0026,0.55,0,5
0.62,0.8323,0.8328,1.4073,-0.0359,0.0358,0.0004,0.394,0.3938,0.2229,2.0,2.0,2.0,0.0,1.7542,-0.0004,0.6,0,4
0.64,0.8818,0.8822,1.4266,-0.0324,0.0319,-0.0015,0.8015,0.8036,0.3898,2.0,2.0,2.0,0.0,1.6819,0.0015,1.2,0,1
0.66,0.9316,0.9321,1.4469,-0.035,0.0348,-0.0017,0.668,0.6701,0.3237,2.0,2.0,2.0,0.0,1.6087,0.0017,1.0,0,2
